arm,seed,n,op,true,pred
coarse_direct,1,9,+,10,7
coarse_direct,1,9,-,8,7
coarse_direct,2,4,-,3,4
coarse_direct,2,5,+,6,4
coarse_direct,2,6,-,5,7
coarse_direct,2,7,+,8,7
coarse_direct,2,7,-,6,7
coarse_direct,2,8,+,9,7
coarse_direct,2,8,-,7,7
coarse_direct,2,9,+,10,7
coarse_direct,2,9,-,8,7
coarse_direct,3,4,-,3,4
coarse_direct,3,5,+,6,4
coarse_direct,3,6,-,5,7
coarse_direct,3,7,+,8,7
coarse_direct,3,7,-,6,7
coarse_direct,3,8,+,9,7
coarse_direct,3,8,-,7,7
coarse_direct,3,9,+,10,7
coarse_direct,3,9,-,8,7
coarse_direct,4,4,-,3,4
coarse_direct,4,5,+,6,4
coarse_direct,4,6,-,5,7
coarse_direct,4,7,+,8,7
coarse_direct,4,7,-,6,7
coarse_direct,4,8,+,9,7
coarse_direct,4,8,-,7,7
coarse_direct,4,9,+,10,7
coarse_direct,4,9,-,8,7
coarse_direct,5,4,-,3,4
coarse_direct,5,5,+,6,4
coarse_direct,5,6,-,5,7
coarse_direct,5,7,+,8,7
coarse_direct,5,7,-,6,7
coarse_direct,5,8,+,9,7
coarse_direct,5,8,-,7,7
coarse_direct,5,9,+,10,7
coarse_direct,5,9,-,8,7
coarse_direct,6,4,-,3,4
coarse_direct,6,5,+,6,4
coarse_direct,6,6,-,5,7
coarse_direct,6,7,+,8,7
coarse_direct,6,7,-,6,7
coarse_direct,6,8,+,9,7
coarse_direct,6,8,-,7,7
coarse_direct,6,9,+,10,7
coarse_direct,6,9,-,8,7
coarse_direct,7,4,-,3,4
coarse_direct,7,5,+,6,4
coarse_direct,7,6,-,5,7
coarse_direct,7,7,+,8,7
coarse_direct,7,7,-,6,7
coarse_direct,7,8,+,9,7
coarse_direct,7,8,-,7,7
coarse_direct,7,9,+,10,7
coarse_direct,7,9,-,8,7
coarse_direct,8,4,-,3,4
coarse_direct,8,5,+,6,4
coarse_direct,8,6,-,5,7
coarse_direct,8,7,+,8,7
coarse_direct,8,7,-,6,7
coarse_direct,8,8,+,9,7
coarse_direct,8,8,-,7,7
coarse_direct,8,9,+,10,7
coarse_direct,8,9,-,8,7
coarse_direct,9,4,-,3,4
coarse_direct,9,5,+,6,4
coarse_direct,9,6,-,5,7
coarse_direct,9,7,+,8,7
coarse_direct,9,7,-,6,7
coarse_direct,9,8,+,9,7
coarse_direct,9,8,-,7,7
coarse_direct,9,9,+,10,7
coarse_direct,9,9,-,8,7
coarse_direct,10,4,-,3,4
coarse_direct,10,5,+,6,4
coarse_direct,10,6,-,5,7
coarse_direct,10,7,+,8,7
coarse_direct,10,7,-,6,7
coarse_direct,10,8,+,9,7
coarse_direct,10,8,-,7,7
coarse_direct,10,9,+,10,7
coarse_direct,10,9,-,8,7
coarse_direct,11,4,-,3,4
coarse_direct,11,5,+,6,4
coarse_direct,11,6,-,5,7
coarse_direct,11,7,+,8,7
coarse_direct,11,7,-,6,7
coarse_direct,11,8,+,9,7
coarse_direct,11,8,-,7,7
coarse_direct,11,9,+,10,7
coarse_direct,11,9,-,8,7
coarse_direct,12,4,-,3,4
coarse_direct,12,5,+,6,4
coarse_direct,12,6,-,5,7
coarse_direct,12,7,+,8,7
coarse_direct,12,7,-,6,7
coarse_direct,12,8,+,9,7
coarse_direct,12,8,-,7,7
coarse_direct,12,9,+,10,7
coarse_direct,12,9,-,8,7
coarse_direct,13,4,-,3,4
coarse_direct,13,5,+,6,4
coarse_direct,13,6,-,5,7
coarse_direct,13,7,+,8,7
coarse_direct,13,7,-,6,7
coarse_direct,13,8,+,9,7
coarse_direct,13,8,-,7,7
coarse_direct,13,9,+,10,7
coarse_direct,13,9,-,8,7
coarse_direct,14,4,-,3,4
coarse_direct,14,5,+,6,4
coarse_direct,14,6,-,5,7
coarse_direct,14,7,+,8,7
coarse_direct,14,7,-,6,7
coarse_direct,14,8,+,9,7
coarse_direct,14,8,-,7,7
coarse_direct,14,9,+,10,7
coarse_direct,14,9,-,8,7
coarse_direct,15,4,-,3,4
coarse_direct,15,5,+,6,4
coarse_direct,15,6,-,5,7
coarse_direct,15,7,+,8,7
coarse_direct,15,7,-,6,7
coarse_direct,15,8,+,9,7
coarse_direct,15,8,-,7,7
coarse_direct,15,9,+,10,7
coarse_direct,15,9,-,8,7
coarse_direct,16,4,-,3,4
coarse_direct,16,5,+,6,4
coarse_direct,16,6,-,5,7
coarse_direct,16,7,+,8,7
coarse_direct,16,7,-,6,7
coarse_direct,16,8,+,9,7
coarse_direct,16,8,-,7,7
coarse_direct,16,9,+,10,7
coarse_direct,16,9,-,8,7
coarse_direct,17,4,-,3,4
coarse_direct,17,5,+,6,4
coarse_direct,17,6,-,5,7
coarse_direct,17,7,+,8,7
coarse_direct,17,7,-,6,7
coarse_direct,17,8,+,9,7
coarse_direct,17,8,-,7,7
coarse_direct,17,9,+,10,7
coarse_direct,17,9,-,8,7
coarse_direct,18,4,-,3,4
coarse_direct,18,5,+,6,4
coarse_direct,18,6,-,5,7
coarse_direct,18,7,+,8,7
coarse_direct,18,7,-,6,7
coarse_direct,18,8,+,9,7
coarse_direct,18,8,-,7,7
coarse_direct,18,9,+,10,7
coarse_direct,18,9,-,8,7
coarse_direct,19,4,-,3,4
coarse_direct,19,5,+,6,4
coarse_direct,19,6,-,5,7
coarse_direct,19,7,+,8,7
coarse_direct,19,7,-,6,7
coarse_direct,19,8,+,9,7
coarse_direct,19,8,-,7,7
coarse_direct,19,9,+,10,7
coarse_direct,19,9,-,8,7
coarse_kc,0,4,-,3,5
coarse_kc,0,5,+,6,4
coarse_kc,0,6,-,5,7
coarse_kc,0,7,+,8,7
coarse_kc,0,7,-,6,7
coarse_kc,0,8,+,9,7
coarse_kc,0,8,-,7,7
coarse_kc,0,9,+,10,7
coarse_kc,0,9,-,8,7
coarse_kc,1,4,-,3,5
coarse_kc,1,5,+,6,4
coarse_kc,1,6,-,5,7
coarse_kc,1,7,+,8,7
coarse_kc,1,7,-,6,7
coarse_kc,1,8,+,9,7
coarse_kc,1,8,-,7,7
coarse_kc,1,9,+,10,3
coarse_kc,1,9,-,8,0
coarse_kc,2,4,-,3,5
coarse_kc,2,5,+,6,4
coarse_kc,2,6,-,5,7
coarse_kc,2,7,+,8,7
coarse_kc,2,7,-,6,7
coarse_kc,2,8,+,9,7
coarse_kc,2,8,-,7,7
coarse_kc,2,9,+,10,7
coarse_kc,2,9,-,8,0
coarse_kc,3,4,-,3,5
coarse_kc,3,5,+,6,4
coarse_kc,3,6,-,5,7
coarse_kc,3,7,+,8,7
coarse_kc,3,7,-,6,7
coarse_kc,3,8,+,9,7
coarse_kc,3,8,-,7,7
coarse_kc,3,9,+,10,2
coarse_kc,3,9,-,8,2
coarse_kc,4,4,-,3,5
coarse_kc,4,5,+,6,4
coarse_kc,4,6,-,5,7
coarse_kc,4,7,+,8,7
coarse_kc,4,7,-,6,7
coarse_kc,4,8,+,9,7
coarse_kc,4,8,-,7,7
coarse_kc,4,9,+,10,7
coarse_kc,4,9,-,8,0
coarse_kc,5,4,-,3,5
coarse_kc,5,5,+,6,4
coarse_kc,5,6,-,5,7
coarse_kc,5,7,+,8,7
coarse_kc,5,7,-,6,7
coarse_kc,5,8,+,9,7
coarse_kc,5,8,-,7,0
coarse_kc,5,9,+,10,3
coarse_kc,5,9,-,8,0
coarse_kc,6,4,-,3,5
coarse_kc,6,5,+,6,4
coarse_kc,6,6,-,5,7
coarse_kc,6,7,+,8,7
coarse_kc,6,7,-,6,7
coarse_kc,6,8,+,9,7
coarse_kc,6,8,-,7,7
coarse_kc,6,9,+,10,7
coarse_kc,6,9,-,8,0
coarse_kc,7,4,-,3,5
coarse_kc,7,5,+,6,4
coarse_kc,7,6,-,5,7
coarse_kc,7,7,+,8,7
coarse_kc,7,7,-,6,7
coarse_kc,7,8,+,9,7
coarse_kc,7,8,-,7,1
coarse_kc,7,9,+,10,2
coarse_kc,7,9,-,8,1
coarse_kc,8,4,-,3,5
coarse_kc,8,5,+,6,4
coarse_kc,8,6,-,5,7
coarse_kc,8,7,+,8,7
coarse_kc,8,7,-,6,7
coarse_kc,8,8,+,9,7
coarse_kc,8,8,-,7,7
coarse_kc,8,9,+,10,3
coarse_kc,8,9,-,8,0
coarse_kc,9,4,-,3,5
coarse_kc,9,5,+,6,4
coarse_kc,9,6,-,5,7
coarse_kc,9,7,+,8,7
coarse_kc,9,7,-,6,7
coarse_kc,9,8,+,9,7
coarse_kc,9,8,-,7,7
coarse_kc,9,9,+,10,7
coarse_kc,9,9,-,8,7
coarse_kc,10,4,-,3,5
coarse_kc,10,5,+,6,4
coarse_kc,10,6,-,5,7
coarse_kc,10,7,+,8,7
coarse_kc,10,7,-,6,7
coarse_kc,10,8,+,9,7
coarse_kc,10,8,-,7,7
coarse_kc,10,9,+,10,7
coarse_kc,10,9,-,8,7
coarse_kc,11,4,-,3,5
coarse_kc,11,5,+,6,4
coarse_kc,11,6,-,5,7
coarse_kc,11,7,+,8,7
coarse_kc,11,7,-,6,7
coarse_kc,11,8,+,9,7
coarse_kc,11,8,-,7,7
coarse_kc,11,9,+,10,7
coarse_kc,11,9,-,8,7
coarse_kc,12,4,-,3,5
coarse_kc,12,5,+,6,4
coarse_kc,12,6,-,5,7
coarse_kc,12,7,+,8,7
coarse_kc,12,7,-,6,7
coarse_kc,12,8,+,9,7
coarse_kc,12,8,-,7,7
coarse_kc,12,9,+,10,7
coarse_kc,12,9,-,8,0
coarse_kc,13,4,-,3,5
coarse_kc,13,5,+,6,4
coarse_kc,13,6,-,5,7
coarse_kc,13,7,+,8,7
coarse_kc,13,7,-,6,7
coarse_kc,13,8,+,9,7
coarse_kc,13,8,-,7,7
coarse_kc,13,9,+,10,7
coarse_kc,13,9,-,8,1
coarse_kc,14,4,-,3,5
coarse_kc,14,5,+,6,4
coarse_kc,14,6,-,5,7
coarse_kc,14,7,+,8,7
coarse_kc,14,7,-,6,7
coarse_kc,14,8,+,9,7
coarse_kc,14,8,-,7,7
coarse_kc,14,9,+,10,7
coarse_kc,14,9,-,8,7
coarse_kc,15,4,-,3,5
coarse_kc,15,5,+,6,4
coarse_kc,15,6,-,5,7
coarse_kc,15,7,+,8,7
coarse_kc,15,7,-,6,7
coarse_kc,15,8,+,9,7
coarse_kc,15,8,-,7,7
coarse_kc,15,9,+,10,7
coarse_kc,15,9,-,8,7
coarse_kc,16,4,-,3,5
coarse_kc,16,5,+,6,4
coarse_kc,16,6,-,5,7
coarse_kc,16,7,+,8,7
coarse_kc,16,7,-,6,7
coarse_kc,16,8,+,9,7
coarse_kc,16,8,-,7,7
coarse_kc,16,9,+,10,7
coarse_kc,16,9,-,8,7
coarse_kc,17,4,-,3,5
coarse_kc,17,5,+,6,4
coarse_kc,17,6,-,5,7
coarse_kc,17,7,+,8,7
coarse_kc,17,7,-,6,7
coarse_kc,17,8,+,9,2
coarse_kc,17,8,-,7,7
coarse_kc,17,9,+,10,2
coarse_kc,17,9,-,8,7
coarse_kc,18,4,-,3,5
coarse_kc,18,5,+,6,4
coarse_kc,18,6,-,5,7
coarse_kc,18,7,+,8,7
coarse_kc,18,7,-,6,7
coarse_kc,18,8,+,9,7
coarse_kc,18,8,-,7,2
coarse_kc,18,9,+,10,7
coarse_kc,18,9,-,8,7
coarse_kc,19,4,-,3,5
coarse_kc,19,5,+,6,4
coarse_kc,19,6,-,5,7
coarse_kc,19,7,+,8,7
coarse_kc,19,7,-,6,7
coarse_kc,19,8,+,9,7
coarse_kc,19,8,-,7,7
coarse_kc,19,9,+,10,7
coarse_kc,19,9,-,8,1
coarse_kc_shuffled,0,4,-,3,5
coarse_kc_shuffled,0,5,+,6,4
coarse_kc_shuffled,0,6,-,5,7
coarse_kc_shuffled,0,7,+,8,7
coarse_kc_shuffled,0,7,-,6,7
coarse_kc_shuffled,0,8,+,9,7
coarse_kc_shuffled,0,8,-,7,7
coarse_kc_shuffled,0,9,+,10,7
coarse_kc_shuffled,0,9,-,8,7
coarse_kc_shuffled,1,4,-,3,5
coarse_kc_shuffled,1,5,+,6,4
coarse_kc_shuffled,1,6,-,5,7
coarse_kc_shuffled,1,7,+,8,7
coarse_kc_shuffled,1,7,-,6,7
coarse_kc_shuffled,1,8,+,9,7
coarse_kc_shuffled,1,8,-,7,7
coarse_kc_shuffled,1,9,+,10,7
coarse_kc_shuffled,1,9,-,8,7
coarse_kc_shuffled,2,4,-,3,5
coarse_kc_shuffled,2,5,+,6,4
coarse_kc_shuffled,2,6,-,5,7
coarse_kc_shuffled,2,7,+,8,7
coarse_kc_shuffled,2,7,-,6,7
coarse_kc_shuffled,2,8,+,9,7
coarse_kc_shuffled,2,8,-,7,7
coarse_kc_shuffled,2,9,+,10,3
coarse_kc_shuffled,2,9,-,8,0
coarse_kc_shuffled,3,4,-,3,5
coarse_kc_shuffled,3,5,+,6,4
coarse_kc_shuffled,3,6,-,5,7
coarse_kc_shuffled,3,7,+,8,7
coarse_kc_shuffled,3,7,-,6,7
coarse_kc_shuffled,3,8,+,9,7
coarse_kc_shuffled,3,8,-,7,7
coarse_kc_shuffled,3,9,+,10,7
coarse_kc_shuffled,3,9,-,8,1
coarse_kc_shuffled,4,4,-,3,5
coarse_kc_shuffled,4,5,+,6,4
coarse_kc_shuffled,4,6,-,5,7
coarse_kc_shuffled,4,7,+,8,7
coarse_kc_shuffled,4,7,-,6,7
coarse_kc_shuffled,4,8,+,9,7
coarse_kc_shuffled,4,8,-,7,7
coarse_kc_shuffled,4,9,+,10,7
coarse_kc_shuffled,4,9,-,8,7
coarse_kc_shuffled,5,4,-,3,5
coarse_kc_shuffled,5,5,+,6,4
coarse_kc_shuffled,5,6,-,5,7
coarse_kc_shuffled,5,7,+,8,7
coarse_kc_shuffled,5,7,-,6,7
coarse_kc_shuffled,5,8,+,9,7
coarse_kc_shuffled,5,8,-,7,7
coarse_kc_shuffled,5,9,+,10,7
coarse_kc_shuffled,5,9,-,8,1
coarse_kc_shuffled,6,4,-,3,5
coarse_kc_shuffled,6,5,+,6,4
coarse_kc_shuffled,6,6,-,5,7
coarse_kc_shuffled,6,7,+,8,7
coarse_kc_shuffled,6,7,-,6,7
coarse_kc_shuffled,6,8,+,9,7
coarse_kc_shuffled,6,8,-,7,7
coarse_kc_shuffled,6,9,+,10,7
coarse_kc_shuffled,6,9,-,8,7
coarse_kc_shuffled,7,4,-,3,5
coarse_kc_shuffled,7,5,+,6,4
coarse_kc_shuffled,7,6,-,5,7
coarse_kc_shuffled,7,7,+,8,7
coarse_kc_shuffled,7,7,-,6,7
coarse_kc_shuffled,7,8,+,9,7
coarse_kc_shuffled,7,8,-,7,7
coarse_kc_shuffled,7,9,+,10,7
coarse_kc_shuffled,7,9,-,8,7
coarse_kc_shuffled,8,4,-,3,5
coarse_kc_shuffled,8,5,+,6,4
coarse_kc_shuffled,8,6,-,5,7
coarse_kc_shuffled,8,7,+,8,7
coarse_kc_shuffled,8,7,-,6,7
coarse_kc_shuffled,8,8,+,9,7
coarse_kc_shuffled,8,8,-,7,7
coarse_kc_shuffled,8,9,+,10,7
coarse_kc_shuffled,8,9,-,8,0
coarse_kc_shuffled,9,4,-,3,5
coarse_kc_shuffled,9,5,+,6,4
coarse_kc_shuffled,9,6,-,5,7
coarse_kc_shuffled,9,7,+,8,7
coarse_kc_shuffled,9,7,-,6,7
coarse_kc_shuffled,9,8,+,9,7
coarse_kc_shuffled,9,8,-,7,7
coarse_kc_shuffled,9,9,+,10,7
coarse_kc_shuffled,9,9,-,8,7
coarse_kc_shuffled,10,4,-,3,5
coarse_kc_shuffled,10,5,+,6,4
coarse_kc_shuffled,10,6,-,5,7
coarse_kc_shuffled,10,7,+,8,7
coarse_kc_shuffled,10,7,-,6,7
coarse_kc_shuffled,10,8,+,9,7
coarse_kc_shuffled,10,8,-,7,7
coarse_kc_shuffled,10,9,+,10,7
coarse_kc_shuffled,10,9,-,8,7
coarse_kc_shuffled,11,4,-,3,5
coarse_kc_shuffled,11,5,+,6,4
coarse_kc_shuffled,11,6,-,5,7
coarse_kc_shuffled,11,7,+,8,7
coarse_kc_shuffled,11,7,-,6,7
coarse_kc_shuffled,11,8,+,9,7
coarse_kc_shuffled,11,8,-,7,7
coarse_kc_shuffled,11,9,+,10,7
coarse_kc_shuffled,11,9,-,8,7
coarse_kc_shuffled,12,4,-,3,5
coarse_kc_shuffled,12,5,+,6,4
coarse_kc_shuffled,12,6,-,5,7
coarse_kc_shuffled,12,7,+,8,7
coarse_kc_shuffled,12,7,-,6,7
coarse_kc_shuffled,12,8,+,9,7
coarse_kc_shuffled,12,8,-,7,7
coarse_kc_shuffled,12,9,+,10,7
coarse_kc_shuffled,12,9,-,8,7
coarse_kc_shuffled,13,4,-,3,5
coarse_kc_shuffled,13,5,+,6,4
coarse_kc_shuffled,13,6,-,5,7
coarse_kc_shuffled,13,7,+,8,7
coarse_kc_shuffled,13,7,-,6,7
coarse_kc_shuffled,13,8,+,9,7
coarse_kc_shuffled,13,8,-,7,7
coarse_kc_shuffled,13,9,+,10,7
coarse_kc_shuffled,13,9,-,8,7
coarse_kc_shuffled,14,4,-,3,5
coarse_kc_shuffled,14,5,+,6,4
coarse_kc_shuffled,14,6,-,5,7
coarse_kc_shuffled,14,7,+,8,7
coarse_kc_shuffled,14,7,-,6,7
coarse_kc_shuffled,14,8,+,9,7
coarse_kc_shuffled,14,8,-,7,7
coarse_kc_shuffled,14,9,+,10,7
coarse_kc_shuffled,14,9,-,8,7
coarse_kc_shuffled,15,4,-,3,5
coarse_kc_shuffled,15,5,+,6,4
coarse_kc_shuffled,15,6,-,5,7
coarse_kc_shuffled,15,7,+,8,7
coarse_kc_shuffled,15,7,-,6,7
coarse_kc_shuffled,15,8,+,9,7
coarse_kc_shuffled,15,8,-,7,7
coarse_kc_shuffled,15,9,+,10,2
coarse_kc_shuffled,15,9,-,8,2
coarse_kc_shuffled,16,4,-,3,5
coarse_kc_shuffled,16,5,+,6,4
coarse_kc_shuffled,16,6,-,5,7
coarse_kc_shuffled,16,7,+,8,7
coarse_kc_shuffled,16,7,-,6,7
coarse_kc_shuffled,16,8,+,9,7
coarse_kc_shuffled,16,8,-,7,7
coarse_kc_shuffled,16,9,+,10,7
coarse_kc_shuffled,16,9,-,8,7
coarse_kc_shuffled,17,4,-,3,5
coarse_kc_shuffled,17,5,+,6,4
coarse_kc_shuffled,17,6,-,5,7
coarse_kc_shuffled,17,7,+,8,7
coarse_kc_shuffled,17,7,-,6,7
coarse_kc_shuffled,17,8,+,9,7
coarse_kc_shuffled,17,8,-,7,7
coarse_kc_shuffled,17,9,+,10,7
coarse_kc_shuffled,17,9,-,8,7
coarse_kc_shuffled,18,4,-,3,5
coarse_kc_shuffled,18,5,+,6,4
coarse_kc_shuffled,18,6,-,5,7
coarse_kc_shuffled,18,7,+,8,7
coarse_kc_shuffled,18,7,-,6,7
coarse_kc_shuffled,18,8,+,9,7
coarse_kc_shuffled,18,8,-,7,7
coarse_kc_shuffled,18,9,+,10,7
coarse_kc_shuffled,18,9,-,8,7
coarse_kc_shuffled,19,4,-,3,5
coarse_kc_shuffled,19,5,+,6,4
coarse_kc_shuffled,19,6,-,5,7
coarse_kc_shuffled,19,7,+,8,7
coarse_kc_shuffled,19,7,-,6,7
coarse_kc_shuffled,19,8,+,9,7
coarse_kc_shuffled,19,8,-,7,7
coarse_kc_shuffled,19,9,+,10,7
coarse_kc_shuffled,19,9,-,8,0
coarse_kc_shared_removed,0,4,-,3,5
coarse_kc_shared_removed,0,5,+,6,4
coarse_kc_shared_removed,0,6,-,5,7
coarse_kc_shared_removed,0,7,+,8,7
coarse_kc_shared_removed,0,7,-,6,7
coarse_kc_shared_removed,0,8,+,9,7
coarse_kc_shared_removed,0,8,-,7,7
coarse_kc_shared_removed,0,9,+,10,7
coarse_kc_shared_removed,0,9,-,8,7
coarse_kc_shared_removed,1,4,-,3,5
coarse_kc_shared_removed,1,5,+,6,4
coarse_kc_shared_removed,1,6,-,5,7
coarse_kc_shared_removed,1,7,+,8,7
coarse_kc_shared_removed,1,7,-,6,7
coarse_kc_shared_removed,1,8,+,9,7
coarse_kc_shared_removed,1,8,-,7,7
coarse_kc_shared_removed,1,9,+,10,7
coarse_kc_shared_removed,1,9,-,8,7
coarse_kc_shared_removed,2,4,-,3,5
coarse_kc_shared_removed,2,5,+,6,4
coarse_kc_shared_removed,2,6,-,5,7
coarse_kc_shared_removed,2,7,+,8,7
coarse_kc_shared_removed,2,7,-,6,7
coarse_kc_shared_removed,2,8,+,9,7
coarse_kc_shared_removed,2,8,-,7,7
coarse_kc_shared_removed,2,9,+,10,7
coarse_kc_shared_removed,2,9,-,8,7
coarse_kc_shared_removed,3,4,-,3,5
coarse_kc_shared_removed,3,5,+,6,4
coarse_kc_shared_removed,3,6,-,5,7
coarse_kc_shared_removed,3,7,+,8,7
coarse_kc_shared_removed,3,7,-,6,7
coarse_kc_shared_removed,3,8,+,9,7
coarse_kc_shared_removed,3,8,-,7,7
coarse_kc_shared_removed,3,9,+,10,7
coarse_kc_shared_removed,3,9,-,8,7
coarse_kc_shared_removed,4,4,-,3,5
coarse_kc_shared_removed,4,5,+,6,4
coarse_kc_shared_removed,4,6,-,5,7
coarse_kc_shared_removed,4,7,+,8,7
coarse_kc_shared_removed,4,7,-,6,7
coarse_kc_shared_removed,4,8,+,9,7
coarse_kc_shared_removed,4,8,-,7,7
coarse_kc_shared_removed,4,9,+,10,7
coarse_kc_shared_removed,4,9,-,8,7
coarse_kc_shared_removed,5,4,-,3,5
coarse_kc_shared_removed,5,5,+,6,4
coarse_kc_shared_removed,5,6,-,5,7
coarse_kc_shared_removed,5,7,+,8,7
coarse_kc_shared_removed,5,7,-,6,7
coarse_kc_shared_removed,5,8,+,9,7
coarse_kc_shared_removed,5,8,-,7,7
coarse_kc_shared_removed,5,9,+,10,7
coarse_kc_shared_removed,5,9,-,8,7
coarse_kc_shared_removed,6,4,-,3,5
coarse_kc_shared_removed,6,5,+,6,4
coarse_kc_shared_removed,6,6,-,5,7
coarse_kc_shared_removed,6,7,+,8,7
coarse_kc_shared_removed,6,7,-,6,7
coarse_kc_shared_removed,6,8,+,9,7
coarse_kc_shared_removed,6,8,-,7,7
coarse_kc_shared_removed,6,9,+,10,7
coarse_kc_shared_removed,6,9,-,8,7
coarse_kc_shared_removed,7,4,-,3,5
coarse_kc_shared_removed,7,5,+,6,4
coarse_kc_shared_removed,7,6,-,5,7
coarse_kc_shared_removed,7,7,+,8,7
